mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_depth,param_l2_leaf_reg,param_learning_rate,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
1.471460223197937,0.032198309898376465,0.013217568397521973,0.0017098188400268555,4,1,0.01,"{'depth': 4, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",0.8420694048335048,0.8411578612727221,0.8416136330531134,0.00045577178039135635,3
1.1119039058685303,0.2905769348144531,0.019980192184448242,0.005091190338134766,4,1,0.05,"{'depth': 4, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",0.8421347224647382,0.8359692222598429,0.8390519723622906,0.003082750102447629,12
1.0832136869430542,0.23970210552215576,0.009817361831665039,1.71661376953125e-05,4,1,0.1,"{'depth': 4, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",0.8320214836802928,0.8266700568359511,0.829345770258122,0.002675713422170878,23
0.883272647857666,0.052129268646240234,0.01446068286895752,0.007053017616271973,4,3,0.01,"{'depth': 4, 'l2_leaf_reg': 3, 'learning_rate': 0.01}",0.8427293715926508,0.8402706880019022,0.8415000297972766,0.0012293417953743169,5
1.1619831323623657,0.0006898641586303711,0.021921277046203613,0.007335305213928223,4,3,0.05,"{'depth': 4, 'l2_leaf_reg': 3, 'learning_rate': 0.05}",0.8411708023721294,0.8374905984187251,0.8393307003954272,0.0018401019767021465,11
1.6705777645111084,0.17969989776611328,0.02217721939086914,0.012196540832519531,4,3,0.1,"{'depth': 4, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",0.8323952816095299,0.8295267159985836,0.8309609988040567,0.0014342828054731416,21
1.0118135213851929,0.012783169746398926,0.011147260665893555,0.0015642642974853516,4,5,0.01,"{'depth': 4, 'l2_leaf_reg': 5, 'learning_rate': 0.01}",0.842663083897587,0.840497165956325,0.841580124926956,0.0010829589706310427,4
0.9398825168609619,0.0743870735168457,0.012706398963928223,0.0011392831802368164,4,5,0.05,"{'depth': 4, 'l2_leaf_reg': 5, 'learning_rate': 0.05}",0.841809104372401,0.8397754088234002,0.8407922565979006,0.0010168477745003957,9
0.7614834308624268,0.029256105422973633,0.011945128440856934,0.0021785497665405273,4,5,0.1,"{'depth': 4, 'l2_leaf_reg': 5, 'learning_rate': 0.1}",0.8335574180781095,0.8284844650984872,0.8310209415882983,0.002536476489811146,20
0.8929523229598999,0.11394965648651123,0.011397123336791992,0.0018832683563232422,4,7,0.01,"{'depth': 4, 'l2_leaf_reg': 7, 'learning_rate': 0.01}",0.8423064237626836,0.8403336882887958,0.8413200560257397,0.0009863677369438828,8
0.8255690336227417,0.152335524559021,0.010155081748962402,0.0031081438064575195,4,7,0.05,"{'depth': 4, 'l2_leaf_reg': 7, 'learning_rate': 0.05}",0.8420645545143538,0.8387464041374711,0.8404054793259125,0.001659075188441328,10
0.8782680034637451,0.1848297119140625,0.014897584915161133,0.00436854362487793,4,7,0.1,"{'depth': 4, 'l2_leaf_reg': 7, 'learning_rate': 0.1}",0.834597973213304,0.8292010529771029,0.8318995130952034,0.002698460118100543,19
1.2134177684783936,0.013660669326782227,0.010200738906860352,0.0007269382476806641,6,1,0.01,"{'depth': 6, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",0.8427031798692354,0.8400816871412214,0.8413924335052284,0.001310746364006965,6
1.1829334497451782,0.09784185886383057,0.009416460990905762,9.500980377197266e-05,6,1,0.05,"{'depth': 6, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",0.8320496155313687,0.8266332258989979,0.8293414207151832,0.002708194816185394,24
1.2604787349700928,0.03542828559875488,0.016237974166870117,0.006598234176635742,6,1,0.1,"{'depth': 6, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",0.8177867670359377,0.8113642179047462,0.8145754924703419,0.003211274565595723,32
1.3733800649642944,0.05248153209686279,0.010402917861938477,0.0005533695220947266,6,3,0.01,"{'depth': 6, 'l2_leaf_reg': 3, 'learning_rate': 0.01}",0.8431057563587685,0.840552735440149,0.8418292458994587,0.0012765104593097654,1
1.520980954170227,0.10891425609588623,0.010471105575561523,0.0008392333984375,6,3,0.05,"{'depth': 6, 'l2_leaf_reg': 3, 'learning_rate': 0.05}",0.8326843606309295,0.8287700663990716,0.8307272135150006,0.001957147115928981,22
1.388710618019104,0.05059635639190674,0.011831164360046387,0.002566218376159668,6,3,0.1,"{'depth': 6, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",0.8258515543656106,0.8132681188825106,0.8195598366240606,0.006291717741550018,30
1.3051519393920898,0.02468132972717285,0.011527299880981445,0.002116680145263672,6,5,0.01,"{'depth': 6, 'l2_leaf_reg': 5, 'learning_rate': 0.01}",0.842705766706116,0.8399857328581065,0.8413457497821113,0.0013600169240047255,7
1.7236677408218384,0.5671752691268921,0.011702179908752441,0.0020688772201538086,6,5,0.05,"{'depth': 6, 'l2_leaf_reg': 5, 'learning_rate': 0.05}",0.833617562035582,0.8302032421563028,0.8319104020959425,0.001707159939639602,18
2.569456934928894,0.139365553855896,0.015532970428466797,0.001554250717163086,6,5,0.1,"{'depth': 6, 'l2_leaf_reg': 5, 'learning_rate': 0.1}",0.8218940172930046,0.8185197581822833,0.8202068877376439,0.0016871295553606558,29
2.1893872022628784,0.4801889657974243,0.015216708183288574,0.0008498430252075195,6,7,0.01,"{'depth': 6, 'l2_leaf_reg': 7, 'learning_rate': 0.01}",0.8429790013516224,0.840280380353732,0.8416296908526772,0.001349310498945211,2
2.579434871673584,0.4242439270019531,0.015625357627868652,0.00345766544342041,6,7,0.05,"{'depth': 6, 'l2_leaf_reg': 7, 'learning_rate': 0.05}",0.833865251666893,0.8321840357919169,0.8330246437294049,0.0008406079374880249,17
3.2751978635787964,0.29498088359832764,0.017991185188293457,0.0003145933151245117,6,7,0.1,"{'depth': 6, 'l2_leaf_reg': 7, 'learning_rate': 0.1}",0.8242557993649317,0.8197280713770636,0.8219919353709977,0.0022638639939340233,26
2.7797224521636963,0.11293768882751465,0.01732659339904785,0.000377655029296875,8,1,0.01,"{'depth': 8, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",0.8382800121581334,0.8339506284520927,0.836115320305113,0.002164691853020373,16
2.6552435159683228,0.13392722606658936,0.013889551162719727,0.0045778751373291016,8,1,0.05,"{'depth': 8, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",0.8191891559797968,0.8156608374708906,0.8174249967253437,0.0017641592544531126,31
2.242424726486206,0.06698036193847656,0.01015472412109375,0.00041365623474121094,8,1,0.1,"{'depth': 8, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",0.8114528969339515,0.80425132397526,0.8078521104546057,0.0036007864793457522,36
1.9702709913253784,0.02841031551361084,0.00969076156616211,0.0002474784851074219,8,3,0.01,"{'depth': 8, 'l2_leaf_reg': 3, 'learning_rate': 0.01}",0.840324906712195,0.8350875413217267,0.8377062240169608,0.0026186826952341313,15
2.1345936059951782,0.04488265514373779,0.009452581405639648,5.245208740234375e-06,8,3,0.05,"{'depth': 8, 'l2_leaf_reg': 3, 'learning_rate': 0.05}",0.8237478092725168,0.8193167925810863,0.8215323009268015,0.002215508345715267,27
2.3146716356277466,0.011283516883850098,0.009287118911743164,0.0002608299255371094,8,3,0.1,"{'depth': 8, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",0.8135420910695922,0.8062017482418073,0.8098719196556998,0.00367017141389242,34
1.937065839767456,0.07226133346557617,0.015100717544555664,0.0017657279968261719,8,5,0.01,"{'depth': 8, 'l2_leaf_reg': 5, 'learning_rate': 0.01}",0.8410682989607381,0.8352865576126315,0.8381774282866847,0.002890870674053303,14
2.107237696647644,0.08131468296051025,0.022694706916809082,0.013117194175720215,8,5,0.05,"{'depth': 8, 'l2_leaf_reg': 5, 'learning_rate': 0.05}",0.8245177165990856,0.8181362641282182,0.8213269903636519,0.003190726235433705,28
2.7547974586486816,0.10998368263244629,0.014548659324645996,0.005281329154968262,8,5,0.1,"{'depth': 8, 'l2_leaf_reg': 5, 'learning_rate': 0.1}",0.8126703270408527,0.8069894133671748,0.8098298702040138,0.002840456836838978,35
2.2067917585372925,0.1506444215774536,0.015288233757019043,0.0011466741561889648,8,7,0.01,"{'depth': 8, 'l2_leaf_reg': 7, 'learning_rate': 0.01}",0.8413088747906279,0.8357844214182883,0.8385466481044581,0.0027622266861697664,13
2.4120720624923706,0.007847428321838379,0.00928199291229248,5.829334259033203e-05,8,7,0.05,"{'depth': 8, 'l2_leaf_reg': 7, 'learning_rate': 0.05}",0.8270434394583164,0.822049066561903,0.8245462530101098,0.0024971864482066786,25
3.1504098176956177,0.12819278240203857,0.018679022789001465,0.0010665655136108398,8,7,0.1,"{'depth': 8, 'l2_leaf_reg': 7, 'learning_rate': 0.1}",0.8169169431348582,0.8081156646497959,0.8125163038923271,0.004400639242531146,33
